Date and Time,Steps,Floors,Calories Burned,Elevation Gained,Feet - ignore,Miles,Miles - ignore,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,Cycle Day
"May 7, 2017",5670,18,2046,180,feet,1.88,miles,219,247,8,0,20
"May 8, 2017","5,616",12,"2,077",,,1.86,,621,255,0,0,21
"May 9, 2017",5793,5,2152,50,feet,1.92,miles,610,289,0,0,22
"May 10, 2017","6,091",9,"2,036",,,2.02,,439,231,0,0,23
"May 11, 2017","5,366",9,"2,071",,,1.78,,756,257,0,0,24
"May 12, 2017","7,240",0,"2,138",,,2.4,,791,280,9,1,25
"May 13, 2017","3,690",1,"1,794",,,1.22,,835,104,10,0,26
"May 14, 2017",3049,8,1731,80,feet,1.01,miles,798,133,5,1,1
"May 15, 2017","8,717",5,"2,226",,,2.89,,922,283,7,0,2
"May 16, 2017",3744,5,1773,50,feet,1.24,miles,1288,152,0,0,3
"May 17, 2017",9950,14,2161,140,feet,3.3,miles,111,241,13,14,4
"May 18, 2017",6956,6,2108,60,feet,2.31,miles,741,276,0,0,5
"May 19, 2017",9552,16,2251,160,feet,3.17,miles,787,282,19,16,6
"May 20, 2017",7306,12,2076,120,feet,2.42,miles,703,276,0,0,7
"May 21, 2017",6454,14,1974,140,feet,2.14,miles,666,243,7,2,8
"May 22, 2017","5,872",9,"2,053",,,1.95,,707,226,14,0,9
"May 23, 2017",8750,10,2157,100,feet,2.9,miles,460,251,16,7,10
"May 24, 2017",5522,6,1976,60,feet,1.83,miles,618,235,0,0,11
"May 25, 2017","11,618",14,"2,573",,,4.12,,549,382,17,17,12
"May 26, 2017",3900,5,1885,50,feet,1.29,miles,883,222,0,0,13
"May 27, 2017","5,293",6,"1,966",,,1.76,,672,236,0,0,14
"May 28, 2017",7100,18,2114,180,feet,2.36,miles,283,302,9,0,15
"May 29, 2017",10496,21,2302,210,feet,3.48,miles,946,395,0,0,16
"May 30, 2017",6033,7,2059,70,feet,2,miles,645,282,0,0,17
"May 31, 2017","6,715",6,"2,166",,,2.23,,730,276,0,0,18
"June 1, 2017",8682,16,2264,160,feet,2.88,miles,762,309,10,2,19
"June 2, 2017","4,939",7,"2,037",,,1.64,,746,229,0,0,20
"June 3, 2017","7,339",9,"2,171",,,2.44,,549,301,0,0,21
"June 4, 2017",6447,17,2099,170,feet,2.14,miles,653,306,0,0,22
"June 5, 2017",10989,4,2339,40,feet,3.97,miles,1152,236,19,33,23
