Fell Asleep At,End Time,Date of Fell Asleep,total Sleep,Total Sleep in Seconds,Time Awake,Time Awake Seconds,Awake Count,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
4/5/2017 0:30:00,4/5/2017 5:35:00,4/5/2017,,17460,14,840,1,305,,,
4/5/2017 23:06:00,4/6/2017 6:26:00,4/5/2017,,23400,50,3000,27,440,108,143,139
4/6/2017 21:38:00,4/7/2017 6:04:00,4/6/2017,,28380,32,1920,24,505,138,194,141
4/7/2017 23:44:00,4/8/2017 6:13:00,4/7/2017,,21060,38,2280,15,389,109,173,69
4/8/2017 22:10:00,4/9/2017 0:05:00,4/8/2017,,6600,5,300,0,115,,,
4/9/2017 4:24:00,4/9/2017 7:26:00,4/9/2017,,10860,1,60,0,182,,,
4/9/2017 23:47:00,4/10/2017 6:23:00,4/9/2017,,21600,36,2160,14,396,89,174,97
4/11/2017 23:02:00,4/12/2017 5:51:00,4/11/2017,,21660,48,2880,13,409,91,187,83
4/12/2017 21:11:00,4/13/2017 5:49:00,4/12/2017,,28140,49,2940,23,518,115,249,105
4/14/2017 0:04:00,4/14/2017 7:33:00,4/14/2017,,24660,37,2220,24,448,107,220,84
4/15/2017 21:34:00,4/16/2017 7:23:00,4/15/2017,,33120,37,2220,25,589,164,305,83
4/19/2017 21:10:00,4/20/2017 6:34:00,4/19/2017,,30180,60,3600,40,563,144,266,93
4/20/2017 22:03:00,4/21/2017 5:54:00,4/20/2017,,25620,44,2640,33,471,132,182,113
4/21/2017 23:42:00,4/22/2017 8:36:00,4/21/2017,,28920,52,3120,29,534,112,284,86
4/22/2017 22:33:00,4/23/2017 6:52:00,4/22/2017,,27180,46,2760,21,499,127,217,109
4/23/2017 22:17:00,4/24/2017 5:01:00,4/23/2017,,21660,43,2580,14,404,96,169,96
4/24/2017 20:57:00,4/25/2017 4:33:00,4/24/2017,,25440,32,1920,31,456,102,220,102
4/25/2017 22:28:00,4/26/2017 5:53:00,4/25/2017,,24420,38,2280,29,445,136,189,82
4/26/2017 21:10:00,4/27/2017 5:54:00,4/26/2017,,28200,54,3240,29,524,119,225,126
4/28/2017 0:13:00,4/28/2017 5:12:00,4/28/2017,,17100,7,420,1,299,,,
4/28/2017 21:27:00,4/29/2017 7:06:00,4/28/2017,,33480,20,1200,1,579,,,
4/30/2017 0:11:00,4/30/2017 6:34:00,4/30/2017,,20100,48,2880,10,383,111,147,77
5/2/2017 0:04:00,5/2/2017 6:11:00,5/2/2017,,19800,36,2160,22,366,74,188,68
5/3/2017 0:31:00,5/3/2017 3:57:00,5/3/2017,,10680,28,1680,3,206,,,
5/3/2017 20:49:00,5/4/2017 6:09:00,5/3/2017,,31440,36,2160,23,560,152,242,130
5/4/2017 22:05:00,5/5/2017 4:40:00,5/4/2017,,22020,28,1680,26,395,76,199,92
5/6/2017 22:06:00,5/7/2017 4:41:00,5/6/2017,,20820,48,2880,17,395,72,198,77
5/7/2017 6:18:00,5/7/2017 8:43:00,5/7/2017,,8340,6,360,0,145,,,
5/7/2017 21:42:00,5/8/2017 6:23:00,5/7/2017,,28020,54,3240,30,521,69,315,83
5/8/2017 23:17:00,5/9/2017 5:26:00,5/8/2017,,20640,25,1500,17,369,89,194,61
5/9/2017 21:08:00,5/10/2017 3:18:00,5/9/2017,,18780,57,3420,17,370,44,198,71
5/10/2017 4:33:00,5/10/2017 7:16:00,5/10/2017,,9000,13,780,1,163,,,
5/10/2017 22:47:00,5/11/2017 4:07:00,5/10/2017,,17160,34,2040,2,320,,,
5/11/2017 20:59:00,5/12/2017 4:42:00,5/11/2017,,27000,13,780,1,463,,,
5/12/2017 22:42:00,5/13/2017 5:31:00,5/12/2017,,23820,10,600,0,409,,,
5/13/2017 7:03:00,5/13/2017 8:57:00,5/13/2017,,6780,1,60,0,114,,,
5/13/2017 23:14:00,5/14/2017 8:23:00,5/13/2017,,31380,26,1560,1,549,,,
5/15/2017 21:19:00,5/15/2017 23:14:00,5/15/2017,,6420,6,360,1,114,,,
5/16/2017 21:23:00,5/17/2017 7:32:00,5/16/2017,,33000,59,3540,36,609,143,297,110
5/17/2017 23:31:00,5/18/2017 6:35:00,5/17/2017,,21600,63,3780,23,423,82,216,62
5/19/2017 0:30:00,5/19/2017 6:06:00,5/19/2017,,19800,5,300,0,336,,,
5/20/2017 0:09:00,5/20/2017 7:50:00,5/20/2017,,25620,34,2040,34,461,112,222,93
5/20/2017 21:58:00,5/21/2017 6:40:00,5/20/2017,,29340,33,1980,38,522,157,226,106
5/21/2017 21:36:00,5/22/2017 5:48:00,5/21/2017,,27600,32,1920,26,492,121,221,118
5/22/2017 23:59:00,5/23/2017 4:43:00,5/22/2017,,15720,22,1320,14,284,80,118,64
5/23/2017 21:40:00,5/24/2017 5:39:00,5/23/2017,,25620,52,3120,21,479,141,173,113
5/24/2017 22:11:00,5/25/2017 6:07:00,5/24/2017,,24000,75,4500,23,475,131,181,88
5/26/2017 0:13:00,5/26/2017 5:44:00,5/26/2017,,17820,34,2040,16,331,71,154,72
5/26/2017 23:56:00,5/27/2017 8:03:00,5/26/2017,,26280,49,2940,20,487,64,280,94
5/27/2017 23:14:00,5/28/2017 6:40:00,5/27/2017,,24420,39,2340,30,446,86,203,118
5/29/2017 22:20:00,5/30/2017 6:53:00,5/29/2017,,27540,54,3240,28,513,125,225,109
5/30/2017 23:56:00,5/31/2017 6:09:00,5/30/2017,,19500,48,2880,20,373,75,179,71
5/31/2017 22:59:00,6/1/2017 5:57:00,5/31/2017,,24000,15,900,1,418,,,
6/1/2017 23:31:00,6/2/2017 5:28:00,6/1/2017,,19680,29,1740,12,357,56,207,65
6/2/2017 22:12:00,6/3/2017 1:16:00,6/2/2017,,9840,20,1200,9,184,38,111,15
6/3/2017 3:03:00,6/3/2017 7:04:00,6/3/2017,,13080,23,1380,15,241,68,102,48
6/3/2017 21:14:00,6/4/2017 5:16:00,6/3/2017,,26940,32,1920,25,481,118,225,106
6/5/2017 22:26:00,6/6/2017 6:16:00,6/5/2017,,25860,38,2280,28,469,113,202,116
6/7/2017 0:21:00,6/7/2017 2:37:00,6/7/2017,,7140,16,960,0,135,,,
6/8/2017 3:00:00,6/8/2017 5:13:00,6/8/2017,,6720,21,1260,0,133,,,
